序号,NEW_TYPE,大类,中类,小类,Big Category,Mid Category,Sub Category,权重,评价规则
1,10000,汽车服务,汽车服务相关,汽车服务相关,Auto Service,Automobile Service Related,Automobile Service Related,0.29,基础服务
2,10100,汽车服务,加油站,加油站,Auto Service,Filling Station,Filling Station,0.29,基础服务
3,10101,汽车服务,加油站,中国石化,Auto Service,Filling Station,Sinopec,0.29,知名品牌
4,10102,汽车服务,加油站,中国石油,Auto Service,Filling Station,PetroChina,0.29,知名品牌
5,10103,汽车服务,加油站,壳牌,Auto Service,Filling Station,Shell,0.29,国际品牌
6,10104,汽车服务,加油站,美孚,Auto Service,Filling Station,Mobil,0.29,国际品牌
7,10105,汽车服务,加油站,加德士,Auto Service,Filling Station,Caltex,0.29,普通品牌
8,10107,汽车服务,加油站,东方,Auto Service,Filling Station,FEOSO,0.29,普通品牌
9,10108,汽车服务,加油站,中石油碧辟,Auto Service,Filling Station,BP PetroChina,0.29,合资品牌
10,10109,汽车服务,加油站,中石化碧辟,Auto Service,Filling Station,BP Sinopec,0.29,合资品牌
11,10110,汽车服务,加油站,道达尔,Auto Service,Filling Station,TOTAL,0.29,国际品牌
12,10111,汽车服务,加油站,埃索,Auto Service,Filling Station,ESSO,0.29,国际品牌
13,10112,汽车服务,加油站,中化道达尔,Auto Service,Filling Station,TOTAL-SINOCHEM,0.29,合资品牌
14,10200,汽车服务,其它能源站,其它能源站,Auto Service,Other Energy Station,Other Energy Station,0.29,基础服务
15,10300,汽车服务,加气站,加气站,Auto Service,Filling Station,Filling Station,0.29,基础服务
16,10400,汽车服务,汽车养护/装饰,汽车养护,Auto Service,Automobile Maintenance/Decoration,Automobile Maintenance,0.29,基础服务
17,10401,汽车服务,汽车养护/装饰,加水站,Auto Service,Automobile Maintenance/Decoration,Add Water Station,0.2,低频需求
18,10500,汽车服务,洗车场,洗车场,Auto Service,Car Wash,Car Wash,0.29,基础服务
19,10600,汽车服务,汽车俱乐部,汽车俱乐部,Auto Service,Automobile Club,Automobile Club,0.2,低频需求
20,10700,汽车服务,汽车救援,汽车救援,Auto Service,Automobile Rescue,Automobile Rescue,0.29,应急服务
21,10800,汽车服务,汽车配件销售,汽车配件销售,Auto Service,Automobile Parts Sales,Automobile Parts Sales,0.29,基础服务
22,10900,汽车服务,汽车租赁,汽车租赁,Auto Service,Automobile Rental,Automobile Rental,0.29,便利服务
23,10901,汽车服务,汽车租赁,汽车租赁还车,Auto Service,Automobile Rental,Rent-a-Car Return,0.29,低频需求
24,11000,汽车服务,二手车交易,二手车交易,Auto Service,Used Automobile Dealer,Used Automobile Dealer,0.2,低频需求
25,11100,汽车服务,充电站,充电站,Auto Service,Charging Station,Charging Station,0.29,新兴需求
26,11101,汽车服务,换电站,换电站,Auto Service,Battery Change Station,Battery Change Station,0.29,新兴需求
27,11102,汽车服务,充电站,充换电站,Auto Service,Charging and Power Swapping Station,Charging and Power Swapping Station,0.29,新兴需求
28,11103,汽车服务,充电站,专用充电站,Auto Service,Dedicated Charging Station,Dedicated Charging Station,0.29,新兴需求
29,20000,汽车销售,汽车销售,汽车销售,Auto Dealers,Automobile Sales,Automobile Sales,0.29,低频需求
30,20100,汽车销售,大众特约销售,大众销售,Auto Dealers,Volkswagen Franchised Sales,Volkswagen Sales,0.29,知名品牌
31,20101,汽车销售,大众特约销售,上海大众销售,Auto Dealers,Volkswagen Franchised Sales,Shanghai Volkswagen Sales,0.29,合资品牌
32,20102,汽车销售,大众特约销售,一汽-大众销售,Auto Dealers,Volkswagen Franchised Sales,FAW-Volkswagen Sales,0.29,合资品牌
33,20103,汽车销售,大众特约销售,斯柯达销售,Auto Dealers,Volkswagen Franchised Sales,Skoda Sales,0.29,普通品牌
34,20104,汽车销售,大众特约销售,进口大众销售,Auto Dealers,Volkswagen Franchised Sales,Import Volkswagen Sales,0.29,进口品牌
35,20105,汽车销售,大众特约销售,宾利销售,Auto Dealers,Volkswagen Franchised Sales,Bentley Sales,0.29,奢侈品牌
36,20106,汽车销售,大众特约销售,兰博基尼销售,Auto Dealers,Volkswagen Franchised Sales,Lamborghini Sales,0.29,奢侈品牌
37,20200,汽车销售,本田特约销售,本田销售,Auto Dealers,Honda Franchised Sales,Honda Sales,0.29,知名品牌
38,20201,汽车销售,本田特约销售,广汽本田销售,Auto Dealers,Honda Franchised Sales,GAC Honda Sales,0.29,合资品牌
39,20202,汽车销售,本田特约销售,东风本田销售,Auto Dealers,Honda Franchised Sales,Dongfeng Honda Sales,0.29,合资品牌
40,20203,汽车销售,本田特约销售,本田讴歌销售,Auto Dealers,Honda Franchised Sales,Acura Sales,0.29,高端品牌
41,20300,汽车销售,奥迪特约销售,上汽-大众奥迪销售,Auto Dealers,Audi Franchised Sales,SAIC-Audi Sales,0.29,豪华品牌
42,20301,汽车销售,奥迪特约销售,一汽-大众奥迪销售,Auto Dealers,Audi Franchised Sales,FAW-Audi Sales,0.29,豪华品牌
43,20400,汽车销售,通用特约销售,通用销售,Auto Dealers,General Motors Franchised Sales,General Motors Sales,0.29,知名品牌
44,20401,汽车销售,通用特约销售,凯迪拉克销售,Auto Dealers,General Motors Franchised Sales,Cadillac Sales,0.29,豪华品牌
45,20402,汽车销售,通用特约销售,别克销售,Auto Dealers,General Motors Franchised Sales,Buick Sales,0.29,中高端品牌
46,20403,汽车销售,通用特约销售,雪佛兰销售,Auto Dealers,General Motors Franchised Sales,Chevrolet Sales,0.29,普通品牌
47,20404,汽车销售,通用特约销售,欧宝销售,Auto Dealers,General Motors Franchised Sales,Opel Sales,0.29,普通品牌
48,20405,汽车销售,通用特约销售,萨博销售,Auto Dealers,General Motors Franchised Sales,Saab Sales,0.29,衰退品牌
49,20406,汽车销售,通用特约销售,沃克斯豪尔销售,Auto Dealers,General Motors Franchised Sales,Vauxhall Sales,0.29,地域品牌
50,20407,汽车销售,通用特约销售,土星销售,Auto Dealers,General Motors Franchised Sales,Saturn Sales,0.29,衰退品牌
51,20408,汽车销售,通用特约销售,大宇销售,Auto Dealers,General Motors Franchised Sales,Daewoo Sales,0.29,衰退品牌
52,20600,汽车销售,宝马特约销售,宝马销售,Auto Dealers,BMW Franchised Sales,BMW Sales,0.29,豪华品牌
53,20601,汽车销售,宝马特约销售,宝马MINI销售,Auto Dealers,BMW Franchised Sales,BMW MINI Sales,0.29,个性品牌
54,20602,汽车销售,宝马特约销售,劳斯莱斯销售,Auto Dealers,BMW Franchised Sales,Rolls-Royce Sales,0.29,奢侈品牌
55,20700,汽车销售,日产特约销售,日产销售,Auto Dealers,Nissan Franchised Sales,Nissan Sales,0.29,知名品牌
56,20701,汽车销售,日产特约销售,东风日产销售,Auto Dealers,Nissan Franchised Sales,Dongfeng Nissan Sales,0.29,合资品牌
57,20702,汽车销售,日产特约销售,郑州日产销售,Auto Dealers,Nissan Franchised Sales,Zhengzhou Nissan Sales,0.29,普通品牌
58,20703,汽车销售,日产特约销售,英菲尼迪销售,Auto Dealers,Nissan Franchised Sales,Infiniti Sales,0.29,豪华品牌
59,20800,汽车销售,雷诺特约销售,雷诺销售,Auto Dealers,Renault Franchised Sales,Renault Sales,0.29,普通品牌
60,20900,汽车销售,梅赛德斯-奔驰特约销售,梅赛德斯-奔驰销售,Auto Dealers,Mercedes-Benz Franchised Sales,Mercedes-Benz Sales,0.29,豪华品牌
61,20904,汽车销售,梅赛德斯-奔驰特约销售,迈巴赫销售,Auto Dealers,Mercedes-Benz Franchised Sales,Maybach Sales,0.29,奢侈品牌
62,20905,汽车销售,梅赛德斯-奔驰特约销售,精灵销售,Auto Dealers,Mercedes-Benz Franchised Sales,Smart Sales,0.29,个性品牌
63,21000,汽车销售,丰田特约销售,丰田销售,Auto Dealers,Toyota Franchised Sales,Toyota Sales,0.29,知名品牌
64,21001,汽车销售,丰田特约销售,一汽丰田销售,Auto Dealers,Toyota Franchised Sales,FAW-Toyota Sales,0.29,合资品牌
65,21002,汽车销售,丰田特约销售,广汽丰田销售,Auto Dealers,Toyota Franchised Sales,GAC Toyota Sales,0.29,合资品牌
66,21003,汽车销售,丰田特约销售,雷克萨斯销售,Auto Dealers,Toyota Franchised Sales,Lexus Sales,0.29,豪华品牌
67,21004,汽车销售,丰田特约销售,大发销售,Auto Dealers,Toyota Franchised Sales,Daihatsu Sales,0.29,普通品牌
68,21100,汽车销售,斯巴鲁特约销售,斯巴鲁销售,Auto Dealers,Subaru Franchised Sales,Subaru Sales,0.29,个性品牌
69,21200,汽车销售,标致雪铁龙特约销售,雪铁龙销售,Auto Dealers,Peugeot Citroen Franchised Sales,Citroen Sales,0.29,普通品牌
70,21201,汽车销售,标致雪铁龙特约销售,东风雪铁龙销售,Auto Dealers,Peugeot Citroen Franchised Sales,Dongfeng Citroen Sales,0.29,合资品牌
71,21202,汽车销售,标致雪铁龙特约销售,东风标致销售,Auto Dealers,Peugeot Citroen Franchised Sales,Dongfeng Peugeot Sales,0.29,合资品牌
72,21203,汽车销售,标致雪铁龙特约销售,DS销售,Auto Dealers,Peugeot Citroen,DS Sales,0.29,高端品牌
73,21300,汽车销售,三菱特约销售,三菱销售,Auto Dealers,Mitsubishi Franchised Sales,Mitsubishi Sales,0.29,普通品牌
74,21301,汽车销售,三菱特约销售,广汽三菱销售,Auto Dealers,Mitsubishi Franchised Sales,GAC Mitsubishi Sales,0.29,合资品牌
75,21400,汽车销售,菲亚特约销售,菲亚特销售,Auto Dealers,Fiat Franchised Sales,Fiat Sales,0.29,普通品牌
76,21401,汽车销售,菲亚特约销售,阿尔法-罗密欧销售,Auto Dealers,Fiat Franchised Sales,Alfa Romeo Sales,0.29,豪华品牌
77,21500,汽车销售,法拉利特约销售,法拉利销售,Auto Dealers,Ferrari Franchised Sales,Ferrari Sales,0.29,奢侈品牌
78,21501,汽车销售,法拉利特约销售,玛莎拉蒂销售,Auto Dealers,Ferrari Franchised Sales,Maserati Sales,0.29,奢侈品牌
79,21600,汽车销售,现代特约销售,现代销售,Auto Dealers,Hyundai Franchised Sales,Hyundai Sales,0.29,普通品牌
80,21601,汽车销售,现代特约销售,进口现代销售,Auto Dealers,Hyundai Franchised Sales,Import Hyundai Sales,0.29,进口品牌
81,21602,汽车销售,现代特约销售,北京现代销售,Auto Dealers,Hyundai Franchised Sales,Beijing Hyundai Sales,0.29,合资品牌
82,21700,汽车销售,起亚特约销售,起亚销售,Auto Dealers,KIA Franchised Sales,KIA Sales,0.29,普通品牌
83,21701,汽车销售,起亚特约销售,进口起亚销售,Auto Dealers,KIA Franchised Sales,Import KIA Sales,0.29,进口品牌
84,21702,汽车销售,起亚特约销售,东风悦达起亚销售,Auto Dealers,KIA Franchised Sales,Dongfeng Yueda KIA Sales,0.29,合资品牌
85,21800,汽车销售,福特特约销售,福特销售,Auto Dealers,Ford Franchised Sales,Ford Sales,0.29,知名品牌
86,21802,汽车销售,福特特约销售,马自达销售,Auto Dealers,Ford Franchised Sales,Mazda Sales,0.29,普通品牌
87,21803,汽车销售,福特特约销售,林肯销售,Auto Dealers,Ford Franchised Sales,Lincoln Sales,0.29,豪华品牌
88,21804,汽车销售,福特特约销售,水星销售,Auto Dealers,Ford Franchised Sales,Mercury Sales,0.29,衰退品牌
89,21900,汽车销售,捷豹特约销售,捷豹销售,Auto Dealers,JAGUAR Franchised Sales,JAGUAR Sales,0.29,豪华品牌
90,22000,汽车销售,路虎特约销售,路虎销售,Auto Dealers,Land Rover Franchised Sales,Land Rover Sales,0.29,豪华品牌
91,22200,汽车销售,保时捷特约销售,保时捷销售,Auto Dealers,Porsche Franchised Sales,Porsche Sales,0.29,豪华品牌
92,22200,汽车销售,东风特约销售,东风销售,Auto Dealers,DFM Franchised Sales,DFM Sales,0.29,普通品牌
93,22300,汽车销售,吉利特约销售,吉利销售,Auto Dealers,Geely Franchised Sales,Geely Sales,0.29,国产品牌
94,22301,汽车销售,吉利特约销售,沃尔沃汽车销售,Auto Dealers,Geely Franchised Sales,Volvo Cars Sales,0.29,豪华品牌
95,22400,汽车销售,奇瑞特约销售,奇瑞销售,Auto Dealers,Chery Franchised Sales,Chery Sales,0.29,国产品牌
